participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.4966,10,328,1,1,9,21,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.9955,10,338,1,1,10,22,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.8392,1,339,1,1,11,23,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.4887,1,340,1,2,0,24,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.1976,1,341,1,2,1,25,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.4095,10,351,1,2,2,26,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.2402,1,352,1,2,3,27,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.5271,1,353,1,2,4,28,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.2797,10,363,1,2,5,29,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.3176,1,364,1,2,6,30,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,
