LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,top_target_prac2.stopped,bott_target_prac2.stopped,target_resp_prac2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.83610825799406,space,21.483341020997614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,5,29,11,,,,,,,,,,,,,,,,,,,,375.88501955382526,375.88501955382526,375.88501955382526,375.88501955382526,375.88501955382526,375.88501955382526,375.88501955382526,375.88501955382526,375.88501955382526,375.88501955382526,a,1.4659975648391992,10,201,0,377.3691596239805,378.86952698091045,378.86952698091045,379.369588637026,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,6,30,4,,,,,,,,,,,,,,,,,,,,379.369588637026,379.369588637026,379.369588637026,379.369588637026,379.369588637026,379.369588637026,379.369588637026,379.369588637026,379.369588637026,379.369588637026,a,1.6374013219028711,10,211,0,381.03870113403536,382.539502101019,382.539502101019,383.0395651180297,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,7,31,0,,,,,,,,,,,,,,,,,,,,383.0395651180297,383.0395651180297,383.0395651180297,383.0395651180297,383.0395651180297,383.0395651180297,383.0395651180297,383.0395651180297,383.0395651180297,383.0395651180297,l,1.949446639046073,10,221,0,385.0069928409066,,386.50925132399425,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,8,32,9,,,,,,,,,,,,,,,,,,,,387.00970792700537,387.00970792700537,387.00970792700537,387.00970792700537,387.00970792700537,387.00970792700537,387.00970792700537,387.00970792700537,387.00970792700537,387.00970792700537,a,1.5685074778739363,1,222,0,388.6101761418395,390.1107656690292,390.1107656690292,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,9,33,1,,,,,,,,,,,,,,,,,,,,390.61259218491614,390.61259218491614,390.61259218491614,390.61259218491614,390.61259218491614,390.61259218491614,390.61259218491614,390.61259218491614,390.61259218491614,390.61259218491614,l,1.2956372348126024,10,232,0,391.931123039918,393.4302356049884,393.4302356049884,393.9304992388934,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,10,34,5,,,,,,,,,,,,,,,,,,,,393.9304992388934,393.9304992388934,393.9304992388934,393.9304992388934,393.9304992388934,393.9304992388934,393.9304992388934,393.9304992388934,393.9304992388934,393.9304992388934,a,1.949060201877728,1,233,0,395.9011731368955,397.40040484489873,397.40040484489873,397.9004953808617,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,11,35,7,,,,,,,,,,,,,,,,,,,,397.9004953808617,397.9004953808617,397.9004953808617,397.9004953808617,397.9004953808617,397.9004953808617,397.9004953808617,397.9004953808617,397.9004953808617,397.9004953808617,a,1.2531341898720711,10,243,0,399.18421523389407,,400.6866736388765,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,3,0,36,0,,,,,,,,,,,,,,,,,,,,401.18686380703,401.18686380703,401.18686380703,401.18686380703,401.18686380703,401.18686380703,401.18686380703,401.18686380703,401.18686380703,401.18686380703,a,1.31955756386742,1,244,0,402.5371662368998,404.0378834938165,404.0378834938165,404.5381436450407,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,3,1,37,7,,,,,,,,,,,,,,,,,,,,404.5381436450407,404.5381436450407,404.5381436450407,404.5381436450407,404.5381436450407,404.5381436450407,404.5381436450407,404.5381436450407,404.5381436450407,404.5381436450407,l,5.292168006999418,10,254,0,409.8596889600158,,411.36101151490584,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,3,2,38,9,,,,,,,,,,,,,,,,,,,,411.8612082549371,411.8612082549371,411.8612082549371,411.8612082549371,411.8612082549371,411.8612082549371,411.8612082549371,411.8612082549371,411.8612082549371,411.8612082549371,l,2.0761363091878593,10,264,0,413.96176609699614,,415.4641986170318,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
