LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,9,21,11,,,,132.35208771994803,132.35208771994803,132.35208771994803,132.35208771994803,132.35208771994803,132.35208771994803,132.35208771994803,132.35208771994803,132.35208771994803,132.35208771994803,a,0.8701287219300866,10,112,0,133.25306549400557,,134.7550005359808,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,10,22,1,,,,135.25557044392917,135.25557044392917,135.25557044392917,135.25557044392917,135.25557044392917,135.25557044392917,135.25557044392917,135.25557044392917,135.25557044392917,135.25557044392917,a,1.1955661389511079,1,113,0,136.47330479393713,,137.97510600695387,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,11,23,8,,,,138.47561705496628,138.47561705496628,138.47561705496628,138.47561705496628,138.47561705496628,138.47561705496628,138.47561705496628,138.47561705496628,138.47561705496628,138.47561705496628,l,0.9237211820436642,10,123,0,139.4266500120284,,140.92812586401124,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,0,24,1,,,,141.42890950199217,141.42890950199217,141.42890950199217,141.42890950199217,141.42890950199217,141.42890950199217,141.42890950199217,141.42890950199217,141.42890950199217,141.42890950199217,l,1.9528426920296624,10,133,0,143.41420785000082,,144.9158577939961,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,1,25,0,,,,145.4165148739703,145.4165148739703,145.4165148739703,145.4165148739703,145.4165148739703,145.4165148739703,145.4165148739703,145.4165148739703,145.4165148739703,145.4165148739703,l,3.005071959923953,10,143,0,148.4533143619774,,149.9549621240003,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,2,26,6,,,,150.45542059501167,150.45542059501167,150.45542059501167,150.45542059501167,150.45542059501167,150.45542059501167,150.45542059501167,150.45542059501167,150.45542059501167,150.45542059501167,a,1.3860864440212026,1,144,0,151.8737460609991,,153.3754728740314,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,3,27,7,,,,153.87608017900493,153.87608017900493,153.87608017900493,153.87608017900493,153.87608017900493,153.87608017900493,153.87608017900493,153.87608017900493,153.87608017900493,153.87608017900493,a,0.688398640952073,1,145,0,154.5936100599356,,156.09510753198992,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,4,28,8,,,,156.59555385599378,156.59555385599378,156.59555385599378,156.59555385599378,156.59555385599378,156.59555385599378,156.59555385599378,156.59555385599378,156.59555385599378,156.59555385599378,l,0.6019899309612811,1,146,0,157.22953919495922,,158.73113011498936,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,5,29,3,,,,159.23181794094853,159.23181794094853,159.23181794094853,159.23181794094853,159.23181794094853,159.23181794094853,159.23181794094853,159.23181794094853,159.23181794094853,159.23181794094853,l,4.142103507067077,1,147,0,163.4196921059629,,164.92155818699393,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,6,30,5,,,,165.42210698092822,165.42210698092822,165.42210698092822,165.42210698092822,165.42210698092822,165.42210698092822,165.42210698092822,165.42210698092822,165.42210698092822,165.42210698092822,l,2.25053479289636,1,148,0,167.69119452498853,,169.19272427202668,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,7,31,11,,,,169.69336001202464,169.69336001202464,169.69336001202464,169.69336001202464,169.69336001202464,169.69336001202464,169.69336001202464,169.69336001202464,169.69336001202464,169.69336001202464,a,0.7798491329886019,1,149,0,170.49435705202632,,171.99594407703262,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,8,32,9,,,,172.49650800193194,172.49650800193194,172.49650800193194,172.49650800193194,172.49650800193194,172.49650800193194,172.49650800193194,172.49650800193194,172.49650800193194,172.49650800193194,l,0.31772673805244267,10,159,0,172.84690696094185,,174.34833037492353,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,9,33,4,,,,174.848908924032,174.848908924032,174.848908924032,174.848908924032,174.848908924032,174.848908924032,174.848908924032,174.848908924032,174.848908924032,174.848908924032,l,0.07940301892813295,10,169,0,174.94904239103198,,176.45073434500955,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,10,34,10,,,,176.95121493097395,176.95121493097395,176.95121493097395,176.95121493097395,176.95121493097395,176.95121493097395,176.95121493097395,176.95121493097395,176.95121493097395,176.95121493097395,l,0.30773976200725883,1,170,0,177.30156154499855,,178.80338266992476,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,11,35,2,,,,179.28710981202312,179.28710981202312,179.28710981202312,179.28710981202312,179.28710981202312,179.28710981202312,179.28710981202312,179.28710981202312,179.28710981202312,179.28710981202312,l,0.01788609498180449,1,171,0,179.33717312198132,,180.83884346694686,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
