LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,target_resp_prac1.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,385.91779097518884,space,18.76176110212691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,10,34,9,,,,,,,,,,,,552.9005692810751,552.9005692810751,552.9005692810751,552.9005692810751,552.9005692810751,552.9005692810751,552.9005692810751,552.9005692810751,552.9005692810751,552.9005692810751,l,1.0436256160028279,1,260,0,553.968460209202,555.4702886790037,555.4702886790037,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,11,35,0,,,,,,,,,,,,555.9707013710868,555.9707013710868,555.9707013710868,555.9707013710868,555.9707013710868,555.9707013710868,555.9707013710868,555.9707013710868,555.9707013710868,555.9707013710868,a,1.0687268089968711,10,270,0,557.0721246032044,,558.5735115131829,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,3,0,36,8,,,,,,,,,,,,559.0740668401122,559.0740668401122,559.0740668401122,559.0740668401122,559.0740668401122,559.0740668401122,559.0740668401122,559.0740668401122,559.0740668401122,559.0740668401122,a,0.9916079789400101,10,280,0,560.0920506401453,,561.5934673631564,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,3,1,37,1,,,,,,,,,,,,562.094233149197,562.094233149197,562.094233149197,562.094233149197,562.094233149197,562.094233149197,562.094233149197,562.094233149197,562.094233149197,562.094233149197,l,1.99828410288319,10,290,0,564.1130651892163,565.6148362981621,565.6148362981621,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,3,2,38,6,,,,,,,,,,,,566.115309531102,566.115309531102,566.115309531102,566.115309531102,566.115309531102,566.115309531102,566.115309531102,566.115309531102,566.115309531102,566.115309531102,a,0.8353553079068661,1,291,0,566.9830303990748,568.4844733891077,568.4844733891077,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,3,3,39,7,,,,,,,,,,,,568.985213314183,568.985213314183,568.985213314183,568.985213314183,568.985213314183,568.985213314183,568.985213314183,568.985213314183,568.985213314183,568.985213314183,a,1.3284065849147737,1,292,0,570.3366214111447,,571.8381304610521,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,3,4,40,4,,,,,,,,,,,,572.338775028009,572.338775028009,572.338775028009,572.338775028009,572.338775028009,572.338775028009,572.338775028009,572.338775028009,572.338775028009,572.338775028009,l,0.9459300830494612,10,302,0,573.3066086440813,574.8083717841655,574.8083717841655,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,3,5,41,10,,,,,,,,,,,,575.3087013000622,575.3087013000622,575.3087013000622,575.3087013000622,575.3087013000622,575.3087013000622,575.3087013000622,575.3087013000622,575.3087013000622,575.3087013000622,l,0.8349090309347957,1,303,0,576.1763198901899,,577.6780713992193,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,3,6,42,11,,,,,,,,,,,,578.1784155440982,578.1784155440982,578.1784155440982,578.1784155440982,578.1784155440982,578.1784155440982,578.1784155440982,578.1784155440982,578.1784155440982,578.1784155440982,l,1.3276020800694823,1,304,0,579.5299252660479,581.031568425009,581.031568425009,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,3,7,43,2,,,,,,,,,,,,581.5320811260026,581.5320811260026,581.5320811260026,581.5320811260026,581.5320811260026,581.5320811260026,581.5320811260026,581.5320811260026,581.5320811260026,581.5320811260026,a,0.9781257100403309,10,314,0,582.5334060760215,,584.0350085711107,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,3,8,44,3,,,,,,,,,,,,584.5354808201082,584.5354808201082,584.5354808201082,584.5354808201082,584.5354808201082,584.5354808201082,584.5354808201082,584.5354808201082,584.5354808201082,584.5354808201082,l,0.8880182788707316,10,324,0,585.4533645191696,,586.9549106562044,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
