LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,prac_fback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,311.1591957830824,space,17.258227292913944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,5,29,7,,,,,,,,,,,,452.7152941201348,452.7152941201348,452.7152941201348,452.7152941201348,452.7152941201348,452.7152941201348,452.7152941201348,452.7152941201348,452.7152941201348,452.7152941201348,a,0.7186493589542806,1,201,0,453.4660943651106,,454.9677947370801,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,6,30,2,,,,,,,,,,,,455.46821637800895,455.46821637800895,455.46821637800895,455.46821637800895,455.46821637800895,455.46821637800895,455.46821637800895,455.46821637800895,455.46821637800895,455.46821637800895,a,0.5672474368475378,10,211,0,456.05221351003274,457.5539079969749,457.5539079969749,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,7,31,8,,,,,,,,,,,,458.05449823010713,458.05449823010713,458.05449823010713,458.05449823010713,458.05449823010713,458.05449823010713,458.05449823010713,458.05449823010713,458.05449823010713,458.05449823010713,a,1.7826135188806802,1,212,0,459.85646804701537,,461.35811061016284,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,8,32,9,,,,,,,,,,,,461.85865200916305,461.85865200916305,461.85865200916305,461.85865200916305,461.85865200916305,461.85865200916305,461.85865200916305,461.85865200916305,461.85865200916305,461.85865200916305,l,0.6009150769095868,10,222,0,462.4928890131414,,463.99451976199634,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,9,33,0,,,,,,,,,,,,464.47805446293205,464.47805446293205,464.47805446293205,464.47805446293205,464.47805446293205,464.47805446293205,464.47805446293205,464.47805446293205,464.47805446293205,464.47805446293205,l,0.6116831027902663,10,232,0,465.1120795791503,,466.6136850020848,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,10,34,10,,,,,,,,,,,,467.11453187209554,467.11453187209554,467.11453187209554,467.11453187209554,467.11453187209554,467.11453187209554,467.11453187209554,467.11453187209554,467.11453187209554,467.11453187209554,l,0.49542794981971383,10,242,0,467.6318249499891,,469.13319909293205,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,11,35,5,,,,,,,,,,,,469.63392226793803,469.63392226793803,469.63392226793803,469.63392226793803,469.63392226793803,469.63392226793803,469.63392226793803,469.63392226793803,469.63392226793803,469.63392226793803,a,0.5419861748814583,10,252,0,470.2012882169802,,471.7027817289345,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,3,0,36,4,,,,,,,,,,,,472.2034229100682,472.2034229100682,472.2034229100682,472.2034229100682,472.2034229100682,472.2034229100682,472.2034229100682,472.2034229100682,472.2034229100682,472.2034229100682,a,0.6950291760731488,10,262,0,472.9207994930912,,474.42248638998717,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,3,1,37,11,,,,,,,,,,,,474.92321001994424,474.92321001994424,474.92321001994424,474.92321001994424,474.92321001994424,474.92321001994424,474.92321001994424,474.92321001994424,474.92321001994424,474.92321001994424,l,2.081174133811146,1,263,0,477.0254472689703,,478.5270502299536,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,3,2,38,6,,,,,,,,,,,,479.02775014797226,479.02775014797226,479.02775014797226,479.02775014797226,479.02775014797226,479.02775014797226,479.02775014797226,479.02775014797226,479.02775014797226,479.02775014797226,l,0.8918781487736851,1,264,0,479.94540989701636,,481.4468177780509,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
