participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,a,2.3881,1,260,1,0,7,7,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,3.7672,10,270,1,0,8,8,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,3.0685,1,271,1,0,9,9,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,3.3685,1,272,1,0,10,10,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,3.6542,1,273,1,0,11,11,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,0.6258,10,283,1,1,0,12,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,a,0.7877,10,293,1,1,1,13,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,0.6107,10,303,1,1,2,14,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,a,1.3195,10,313,1,1,3,15,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,0.9766,1,314,1,1,4,16,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,1.5867,1,315,1,1,5,17,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,a,1.2515,1,316,1,1,6,18,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,a,1.5506,10,326,1,1,7,19,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,1.6088,10,336,1,1,8,20,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,0.7863,10,346,1,1,9,21,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,1.6054,10,356,1,1,10,22,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,a,1.0361,10,366,1,1,11,23,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,0.7867,1,367,1,2,0,24,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,l,0.9013,10,377,1,2,1,25,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296635,2022-10-07_24h10.51.353,vts_reward_expectancy,2022.2.4,Win32,60.84575601,Chrome,1280,720,,,a,1.5625,1,378,1,2,2,26,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
