LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate
0,1,0,0,0,0,0,1,circle,star,2,0,2,0,1,3,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.5457537,432.5457537,432.5457537,432.5457537,432.5457537,432.5457537,432.5457537,432.5457537,432.5457537,432.5457537,a,1.483772803,1,697,2,434.0481803,,435.5487303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,0,1,0,1,0,0,star ,circle,2,0,2,0,1,4,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.0488698,436.0488698,436.0488698,436.0488698,436.0488698,436.0488698,436.0488698,436.0488698,436.0488698,436.0488698,a,3.897647689,1,698,2,439.9669924,,441.4693348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,1,0,0,0,0,1,hexagon,star,2,0,2,0,1,5,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.9696537,441.9696537,441.9696537,441.9696537,441.9696537,441.9696537,441.9696537,441.9696537,441.9696537,441.9696537,a,0.408054627,1,699,2,442.4030728,443.9034736,443.9034736,444.4044952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,1,0,0,0,0,1,0,circle,hexagon,2,0,2,0,1,6,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.4044952,444.4044952,444.4044952,444.4044952,444.4044952,444.4044952,444.4044952,444.4044952,444.4044952,444.4044952,l,0.559776465,1,700,2,444.9871841,,446.4898667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,0,1,1,0,0,0,star,triangle,2,0,2,0,1,7,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.9898899,446.9898899,446.9898899,446.9898899,446.9898899,446.9898899,446.9898899,446.9898899,446.9898899,446.9898899,a,0.336822414,1,701,2,447.3565296,448.8569145,448.8569145,449.3574261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
1,0,0,0,0,0,0,1,triangle,star,2,0,2,0,1,8,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.3574261,449.3574261,449.3574261,449.3574261,449.3574261,449.3574261,449.3574261,449.3574261,449.3574261,449.3574261,l,0.770726267,1,702,2,450.1576177,,451.6601923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,1,0,1,0,0,0,hexagon,triangle,2,0,2,0,1,9,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.1601557,452.1601557,452.1601557,452.1601557,452.1601557,452.1601557,452.1601557,452.1601557,452.1601557,452.1601557,a,2.377989478,1,703,2,454.5610252,,456.0634053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,1,0,0,1,0,0,0,circle,triangle,2,0,2,0,1,10,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.5636952,456.5636952,456.5636952,456.5636952,456.5636952,456.5636952,456.5636952,456.5636952,456.5636952,456.5636952,a,0.743110145,10,713,2,457.3326801,,458.8478582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
1,0,0,0,0,0,1,0,triangle,hexagon,2,0,2,0,1,11,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.3479602,459.3479602,459.3479602,459.3479602,459.3479602,459.3479602,459.3479602,459.3479602,459.3479602,459.3479602,a,0.635373438,10,723,2,460.0148838,,461.5171116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
1,0,0,0,0,0,0,1,triangle,star,2,0,2,0,2,0,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.0174638,462.0174638,462.0174638,462.0174638,462.0174638,462.0174638,462.0174638,462.0174638,462.0174638,462.0174638,l,0.84625004,1,724,2,462.8864165,,464.4017473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,1,0,0,0,0,1,hexagon,star,2,0,2,0,2,1,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.9017806,464.9017806,464.9017806,464.9017806,464.9017806,464.9017806,464.9017806,464.9017806,464.9017806,464.9017806,a,0.280054617,1,725,2,465.2018936,,466.7043145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,1,0,1,0,0,0,hexagon,triangle,2,0,2,0,2,2,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.2046199,467.2046199,467.2046199,467.2046199,467.2046199,467.2046199,467.2046199,467.2046199,467.2046199,467.2046199,l,0.429253465,10,735,2,467.6564881,,469.1719406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,1,0,0,1,0,0,hexagon,circle,2,0,2,0,2,3,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.6720386,469.6720386,469.6720386,469.6720386,469.6720386,469.6720386,469.6720386,469.6720386,469.6720386,469.6720386,l,1.765185433,10,745,2,471.4576788,472.958338,472.958338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,0,1,0,0,1,0,star,hexagon,2,0,2,0,2,4,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.4586182,473.4586182,473.4586182,473.4586182,473.4586182,473.4586182,473.4586182,473.4586182,473.4586182,473.4586182,a,0.386067441,1,746,2,473.8772341,,475.3928258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,0,1,0,1,0,0,star ,circle,2,0,2,0,2,5,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.8778753,475.8778753,475.8778753,475.8778753,475.8778753,475.8778753,475.8778753,475.8778753,475.8778753,475.8778753,l,0.419542125,10,756,2,476.3280383,477.8286886,477.8286886,478.3288297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,1,0,0,0,0,1,0,circle,hexagon,2,0,2,0,2,6,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.3288297,478.3288297,478.3288297,478.3288297,478.3288297,478.3288297,478.3288297,478.3288297,478.3288297,478.3288297,a,0.62303221,10,766,2,478.9790669,,480.4796138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
1,0,0,0,0,1,0,0,triangle,circle,2,0,2,0,2,7,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.9812108,480.9812108,480.9812108,480.9812108,480.9812108,480.9812108,480.9812108,480.9812108,480.9812108,480.9812108,l,0.581124029,1,767,2,481.5836849,,483.0989745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,1,0,0,0,0,0,1,circle,star,2,0,2,0,2,8,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.5991515,483.5991515,483.5991515,483.5991515,483.5991515,483.5991515,483.5991515,483.5991515,483.5991515,483.5991515,a,0.527962794,10,777,2,484.1511957,,485.6518254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,0,1,1,0,0,0,star,triangle,2,0,2,0,2,9,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.1517924,486.1517924,486.1517924,486.1517924,486.1517924,486.1517924,486.1517924,486.1517924,486.1517924,486.1517924,l,1.058632757,10,787,2,487.2356307,488.7363649,488.7363649,489.2364039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,1,0,0,1,0,0,0,circle,triangle,2,0,2,0,2,10,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.2364039,489.2364039,489.2364039,489.2364039,489.2364039,489.2364039,489.2364039,489.2364039,489.2364039,489.2364039,l,0.876452933,10,797,2,490.136792,,491.6391236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
1,0,0,0,0,0,1,0,triangle,hexagon,2,0,2,0,2,11,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.1393809,492.1393809,492.1393809,492.1393809,492.1393809,492.1393809,492.1393809,492.1393809,492.1393809,492.1393809,a,2.316479052,10,807,2,494.4734804,,495.9758699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,1,0,0,0,0,0,1,circle,star,2,0,2,0,3,0,36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.4758674,496.4758674,496.4758674,496.4758674,496.4758674,496.4758674,496.4758674,496.4758674,496.4758674,496.4758674,a,1.826584145,10,817,2,498.3268461,499.8273646,499.8273646,500.3274732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,1,0,1,0,0,0,hexagon,triangle,2,0,2,0,3,1,37,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.3274732,500.3274732,500.3274732,500.3274732,500.3274732,500.3274732,500.3274732,500.3274732,500.3274732,500.3274732,a,0.563403872,10,827,2,500.9127434,502.4134124,502.4134124,502.9135723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
1,0,0,0,0,1,0,0,triangle,circle,2,0,2,0,3,2,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.9135723,502.9135723,502.9135723,502.9135723,502.9135723,502.9135723,502.9135723,502.9135723,502.9135723,502.9135723,l,1.56573413,10,837,2,504.4973778,,505.9995937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,0,1,0,1,0,0,star ,circle,2,0,2,0,3,3,39,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.4998743,506.4998743,506.4998743,506.4998743,506.4998743,506.4998743,506.4998743,506.4998743,506.4998743,506.4998743,l,0.635022113,1,838,2,507.1669247,508.6673342,508.6673342,509.1674966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,1,0,0,0,0,1,hexagon,star,2,0,2,0,3,4,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.1674966,509.1674966,509.1674966,509.1674966,509.1674966,509.1674966,509.1674966,509.1674966,509.1674966,509.1674966,l,0.430724825,1,839,2,509.6178714,,511.1199422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
1,0,0,0,0,0,1,0,triangle,hexagon,2,0,2,0,3,5,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.6202777,511.6202777,511.6202777,511.6202777,511.6202777,511.6202777,511.6202777,511.6202777,511.6202777,511.6202777,a,2.20840314,10,849,2,513.8562705,,515.3716814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,1,0,0,1,0,0,0,circle,triangle,2,0,2,0,3,6,42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.8568333,515.8568333,515.8568333,515.8568333,515.8568333,515.8568333,515.8568333,515.8568333,515.8568333,515.8568333,a,0.694284758,10,859,2,516.5742023,518.0744913,518.0744913,518.574754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,0,1,0,0,1,0,star,hexagon,2,0,2,0,3,7,43,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.574754,518.574754,518.574754,518.574754,518.574754,518.574754,518.574754,518.574754,518.574754,518.574754,a,0.935593793,1,860,2,519.5415514,,521.0441038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,1,0,0,0,0,1,0,circle,hexagon,2,0,2,0,3,8,44,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.5440953,521.5440953,521.5440953,521.5440953,521.5440953,521.5440953,521.5440953,521.5440953,521.5440953,521.5440953,a,0.91317569,10,870,2,522.4801192,,523.9949294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,1,0,0,1,0,0,hexagon,circle,2,0,2,0,3,9,45,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.4952035,524.4952035,524.4952035,524.4952035,524.4952035,524.4952035,524.4952035,524.4952035,524.4952035,524.4952035,l,0.504408508,10,880,2,525.0288489,,526.5311035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
1,0,0,0,0,0,0,1,triangle,star,2,0,2,0,3,10,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.03126,527.03126,527.03126,527.03126,527.03126,527.03126,527.03126,527.03126,527.03126,527.03126,a,1.040294482,10,890,2,528.0986042,529.599095,529.599095,530.0989563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,0,1,1,0,0,0,star,triangle,2,0,2,0,3,11,47,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.0989563,530.0989563,530.0989563,530.0989563,530.0989563,530.0989563,530.0989563,530.0989563,530.0989563,530.0989563,l,0.830798728,10,900,2,530.95125,532.4519782,532.4519782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.9540546,,132,F,triangle,0.0026963,576.7634307,578.2514532,578.2514532,578.2514532,1,0,d,1.177485274,0,579.4554677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.1579471,,146,W,star,0.001806582,581.9504564,583.4384705,583.4384705,583.4384705,1,0,d,1.199667485,0,584.6560921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.628215,,160,D,hexagon,0.001954116,587.153887,588.6421863,588.6421863,588.6421863,1,0,f,0.451536919,0,589.1257057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.3964457,,181,S,circle,0.001577548,591.6238425,593.112232,593.112232,593.112232,1,0,f,0.75103655,0,593.8960247,595.3964457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.8668604,600.3669429,167,U,circle,0.001878257,596.394538,597.8826573,597.8826573,597.8826573,1,0,f,0.459341347,0,598.3663401,599.8668604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.3201146,,139,Y,star,0.000667536,600.8629208,602.3526877,602.3526877,602.3526877,1,0,d,0.443996962,0,602.8197417,604.3201146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.457155,609.9571036,174,H,triangle,0.000375043,605.316379,606.8061854,606.8061854,606.8061854,1,0,f,1.121054651,0,607.9568333,609.457155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0939039,614.5940934,125,B,hexagon,0.000493045,610.4538357,611.9430071,611.9430071,611.9430071,1,0,d,0.618282725,0,612.5933807,614.0939039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
,,,,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.7141009,619.2143466,132,F,hexagon,0.000194319,615.0893547,616.5800668,616.5800668,616.5800668,1,0,d,0.617085397,0,617.2146056,618.7141009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
,,,,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.2508176,623.7609652,146,W,triangle,7.21E-05,619.7099865,621.200085,621.200085,621.200085,1,0,d,0.519468399,0,621.7509653,623.2508176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.3517646,,167,S,triangle,0.002593386,,,,,1,0,,,1,644.8499797,,641.743785,643.231881,643.231881,643.231881,k,1.595672443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.9386663,,174,H,star,0.00199386,,,,,1,0,,,1,649.436742,,647.347567,648.8359607,648.8359607,648.8359607,j,0.582678211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
